districtid,timeid,dose1,dose2
RJ_Udaipur,1,1195059.0,370381.0
SK_South Sikkim,1,116797.0,36563.0
SK_West Sikkim,1,99922.0,31719.0
TG_Hyderabad,1,2559011.0,906309.0
TG_Jagtial,1,211881.0,93364.0
TG_Jangaon,1,104689.0,43562.0
TG_Jayashankar Bhupalapally,1,139834.0,41928.0
TG_Jogulamba Gadwal,1,81941.0,26417.0
TG_Kamareddy,1,222830.0,92871.0
TG_Karimnagar,1,399106.0,163858.0
TG_Khammam,1,422413.0,105043.0
TG_Komaram Bheem,1,70674.0,23196.0
TG_Mahabubabad,1,186935.0,66052.0
TG_Mahabubnagar,1,162824.0,64070.0
TG_Mancherial,1,211576.0,64717.0
TG_Medak,1,175497.0,57552.0
TG_Medchal Malkajgiri,1,1568595.0,534671.0
TG_Mulugu,1,95566.0,29590.0
TG_Nagarkurnool,1,144807.0,53187.0
TG_Nalgonda,1,338773.0,80855.0
TG_Narayanpet,1,62444.0,16985.0
TG_Nirmal,1,167959.0,81537.0
TG_Nizamabad,1,309037.0,118396.0
TG_Peddapalli,1,283506.0,76064.0
TG_Rajanna Sircilla,1,155270.0,68534.0
TG_Ranga Reddy,1,1623649.0,538193.0
TG_Sangareddy,1,354537.0,116839.0
TG_Siddipet,1,301191.0,118777.0
TG_Suryapet,1,254753.0,78972.0
TG_Vikarabad,1,121682.0,41361.0
TG_Wanaparthy,1,91061.0,34017.0
TG_Warangal Rural,1,142093.0,34349.0
TG_Warangal Urban,1,484676.0,138403.0
TG_Yadadri Bhuvanagiri,1,250539.0,127093.0
TN_Chennai,1,3192545.0,1191329.0
TN_Coimbatore,1,1558849.0,367472.0
TN_Cuddalore,1,577218.0,114903.0
TN_Dharmapuri,1,418966.0,68649.0
TN_Dindigul,1,573368.0,113002.0
TN_Erode,1,718383.0,129173.0
TN_Kallakurichi,1,313083.0,45276.0
TN_Kancheepuram,1,306711.0,46858.0
TN_Kanyakumari,1,550893.0,116025.0
TN_Karur,1,309227.0,54085.0
TN_Krishnagiri,1,596961.0,108515.0
TN_Madurai,1,786060.0,188840.0
TN_Nagapattinam,1,399779.0,58996.0
TN_Namakkal,1,543375.0,118141.0
TN_Nilgiris,1,392074.0,103208.0
TN_Perambalur,1,173685.0,31271.0
TN_Pudukkottai,1,437501.0,64578.0
TN_Ramanathapuram,1,395790.0,63928.0
TN_Ranipet,1,252509.0,44537.0
TN_Salem,1,1023884.0,240779.0
TN_Sivaganga,1,363612.0,56964.0
TN_Tenkasi,1,318670.0,54592.0
TN_Thanjavur,1,589530.0,102787.0
TN_Theni,1,322318.0,52539.0
TN_Thiruvallur,1,724041.0,165557.0
TN_Thiruvarur,1,330191.0,45513.0
TN_Thoothukkudi,1,434679.0,80991.0
TN_Tiruchirappalli,1,792926.0,180677.0
TN_Tirunelveli,1,374182.0,72065.0
TN_Tirupathur,1,278345.0,57205.0
TN_Tiruppur,1,751658.0,131533.0
TN_Tiruvannamalai,1,608653.0,76539.0
TN_Vellore,1,404871.0,120993.0
TN_Viluppuram,1,436091.0,70415.0
TN_Virudhunagar,1,588700.0,132475.0
TR_Khowai,1,188736.0,58696.0
TR_North Tripura,1,273943.0,88874.0
TR_Sipahijala,1,324924.0,104520.0
TR_South Tripura,1,297326.0,101938.0
TR_Unokoti,1,168790.0,48192.0
TR_West Tripura,1,659337.0,283463.0
UP_Ambedkar Nagar,1,502246.0,80417.0
UP_Amethi,1,475261.0,98128.0
UP_Amroha,1,392567.0,68078.0
UP_Auraiya,1,302129.0,51155.0
UP_Ayodhya,1,559674.0,109689.0
UP_Azamgarh,1,1030101.0,161205.0
UP_Baghpat,1,470009.0,88644.0
UP_Bahraich,1,938721.0,129849.0
UP_Ballia,1,533698.0,117643.0
UP_Balrampur,1,549271.0,110111.0
UP_Banda,1,414902.0,50832.0
UP_Barabanki,1,759633.0,99340.0
UP_Bareilly,1,1070976.0,224470.0
UP_Basti,1,666747.0,101155.0
UP_Bhadohi,1,382210.0,64798.0
UP_Bijnor,1,863344.0,152813.0
UP_Budaun,1,535384.0,96669.0
UP_Bulandshahr,1,1024222.0,166047.0
UP_Chandauli,1,415630.0,60592.0
UP_Chitrakoot,1,260473.0,24323.0
UP_Deoria,1,630052.0,134678.0
UP_Etah,1,347047.0,53243.0
UP_Etawah,1,363780.0,63649.0
UP_Farrukhabad,1,379313.0,65981.0
UP_Fatehpur,1,579668.0,99203.0
UP_Firozabad,1,540488.0,87123.0
UP_Gautam Buddha Nagar,1,1433962.0,360371.0
